"","utility_name","State","Data Year","Utility Number","Ownership","SAIDI_IEEE","SAIFI With MED...7","CAIDI With MED...8","SAIDI Without MED...9","SAIFI Without MED...10","CAIDI Without MED...11","SAIDI With MED Minus LOS","SAIFI With MED Minus LOS","CAIDI Minus MED","Number of Customers...15","Highest Dist. Voltage...16","Outages Recorded Automatically...17","Revenues","total_sale"
"1","Alameda Municipal Power","CA","2020",207,"public","57.606000000000002","0.88300000000000001","65.238957999999997","57.606000000000002","0.88300000000000001","65.238957999999997","0","0",".","34965","12","Y",62941.2,339583
"2","Albertville Municipal Utilities Board","AL","2020",241,"public","18.928999999999998","0.41699999999999998","45.393284999999999","18.928999999999998","0.41699999999999998","45.393284999999999","18.928999999999998","0.41699999999999998","45.393284999999999","10054","13","N",45079,593337
"3","Anchorage Municipal Light and Power","AK","2020",599,"public","68.685000000000002","0.27100000000000002","253.45017999999999","18.140999999999998","0.11","164.91818000000001","18.140999999999998","0.11","164.91818000000001","31159","35","Y",121486.1,732828
"4","Austin Energy","TX","2020",1015,"public","54.27","0.68","79.808824000000001","54.27","0.68","79.808824000000001","50.65","0.63","80.396825000000007","500167","35","Y",1178922.3,13087868
"5","Beaches Energy Services","FL","2020",9616,"public","31.8","0.73099999999999998","43.502051999999999",".",".",".",".",".",".","35747","27","N",75919.5,701053
"6","Board of Water Electric & Communications","IA","2020",13143,"public","36.409999999999997","0.29299999999999998","124.26621","8.1999999999999993","6.9000000000000006E-2","118.84058","36.409999999999997","0.29299999999999998","124.26621","11525","13.8","N",58920.2,840939
"7","Bolivar Energy Authority","TN","2020",1936,"public","78.260000000000005","1","78.260000000000005","36.26","0.66","54.939394","78.260000000000005","1","78.260000000000005","11248","12.5","N",25401,212008
"8","Borough of Chambersburg","PA","2020",3329,"public","14.066000000000001","0.35099999999999998","40.074074000000003","14.066000000000001","0.35099999999999998","40.074074000000003",".",".",".","11187","12.5","Y",26879,298723
"9","Bozrah Light & Power Company","CT","2020",2089,"public","1320.76","1.65","800.46060999999997","52.47","0.7","74.957143000000002","1320.76","1.65","800.46060999999997","2769","13.8","Y",17987.7,215694
"10","Bristol Virginia Utilities","VA","2020",2248,"public","86.26","0.96","89.854167000000004","59.32","0.86799999999999999","68.341014000000001","86.26","0.96","89.854167000000004","15894","13.2","Y",40736,420918
"11","Brownsville Public Utilities Board","TX","2020",2409,"public","63.054000000000002","1.2130000000000001","51.981862999999997","24.852","0.70599999999999996","35.201132999999999","63.054000000000002","1.2130000000000001","51.981862999999997","55884","12.5","N",126070,1208187
"12","Central Lincoln People's Ut Dt","OR","2020",3264,"public","331.738","1.3360000000000001","248.30689000000001",".",".",".",".",".",".","40054","12","Y",91740,1254427
"13","City of Albemarle - (NC)","NC","2020",232,"public","264.47000000000003","0.82","322.52438999999998","51.13","0.42","121.7381",".",".",".","11821","14.4","N",29687.8,261018
"14","City of Alexandria - (MN)","MN","2020",295,"public","12","0.4","30",".",".",".",".",".",".","10263","13.2","N",24853.1,273321
"15","City of Ames - (IA)","IA","2020",554,"public","2136.9499999999998","1.77","1207.3163999999999","34.729999999999997","0.35","99.228571000000002","2134.33","1.75","1219.6170999999999","27187","13.8","N",55830.8,618595
"16","City of Anaheim - (CA)","CA","2020",590,"public","26.35","0.39","67.564103000000003","26.35","0.39","67.564103000000003","26.35","0.39","67.564103000000003","122506","12","Y",351449,2085895
"17","City of Anderson - (IN)","IN","2020",636,"public","380.49","1.8169999999999999","209.40561","144.44","1.0960000000000001","131.78832","380.49","1.8169999999999999","209.40561","34037","13.2","Y",81987.7,834696
"18","City of Anoka","MN","2020",691,"public","33.61","0.55000000000000004","61.109090999999999","33.61","0.55000000000000004","61.109090999999999","33.61","0.55000000000000004","61.109090999999999","12244","12.5","N",29270,270004
"19","City of Austin - (MN)","MN","2020",1009,"public","8.8680000000000003","0.183","48.459015999999998",".",".",".",".",".",".","11751","13.8","N",35315,336408
"20","City of Bay City - (MI)","MI","2020",1366,"public","164.32400000000001","1.0269999999999999","160.00389000000001","99.429000000000002","0.63300000000000001","157.07583","164.32400000000001","1.0269999999999999","160.00389000000001","21000","8.3000000000000007","Y",38226,297744
"21","City of Bowling Green - (KY)","KY","2020",2056,"public","112.04600000000001","0.73799999999999999","151.82384999999999","31.827000000000002","0.52","61.205768999999997","112.04600000000001","0.73799999999999999","151.82384999999999","31078","13","N",76592,815113
"22","City of Bowling Green - (OH)","OH","2020",2054,"public","54.942999999999998","0.91800000000000004","59.850763000000001","5.8559999999999999","6.3E-2","92.952381000000003",".",".",".","14770","12.5","N",56697,483454
"23","City of Bristol - (TN)","TN","2020",2247,"public","91.286000000000001","1.645","55.493009000000001","70.435000000000002","1.0109999999999999","69.668644999999998","20.850999999999999","0.63400000000000001","32.888013000000001","33843","69","N",81007,845272
"24","City of Calhoun - (GA)","GA","2020",2812,"public","59.1","0.69","85.652174000000002","59.1","0.69","85.652174000000002","59.1","0.69","85.652174000000002","5505","7.2","N",31950.5,358795
"25","City of Carthage - (MO)","MO","2020",3113,"public","21.437000000000001","0.88200000000000001","24.304988999999999","19.382000000000001","0.52300000000000002","37.059272999999997",".",".",".","7792","13.2","Y",25529,283822
"26","City of Centralia - (WA)","WA","2020",3295,"public","76.781000000000006","0.45100000000000001","170.24611999999999","76.781000000000006","0.45100000000000001","170.24611999999999","76.781000000000006","0.45100000000000001","170.24611999999999","10418","12.5","N",25365.7,252470
"27","City of Chattanooga - (TN)","TN","2020",3408,"public","1192","1.47","810.88435000000004","86","0.71","121.12676",".",".",".","187516","46","Y",497394,5185817
"28","City of Chicopee - (MA)","MA","2020",3477,"public","226.16","0.38100000000000001","593.59580000000005",".",".",".",".",".",".","25982","13.8","Y",54167.1,441639
"29","City of Claremore","OK","2020",3647,"public","294.20600000000002","3.1339999999999999","93.875557999999998","95.727999999999994","2.1240000000000001","45.069679999999998",".",".",".","12598","13.2","N",25012,252930
"30","City of Clarksville - (TN)","TN","2020",3704,"public","189.72","1.91","99.329842999999997","99.22","1.27","78.125984000000003",".",".",".","71788","12.5","Y",162525,1495990
"31","City of Cleveland - (OH)","OH","2020",3762,"public","145.101","1.3069999999999999","111.01836","145.101","1.3069999999999999","111.01836",".",".",".","74400","13.8","Y",195496,1528964
"32","City of Cleveland - (TN)","TN","2020",3758,"public","131.53","2.0510000000000002","64.129693000000003","68.075999999999993","0.98","69.465305999999998","131.53","2.0510000000000002","64.129693000000003","32163","13.2","N",95748,986277
"33","City of Clinton - (TN)","TN","2020",3812,"public","103.9","1.2909999999999999","80.480248000000003","102.6","1.2809999999999999","80.093677","103.5","1.22","84.836066000000002","29472","13","Y",74508,753816
